ds,yhat
2010-12-01,1107.174557
2011-01-01,1161.2982511945204
2011-02-01,1215.4219453643052
2011-03-01,1264.3078626876072
2011-04-01,1318.431556825134
2011-05-01,1370.8093253774928
2011-06-01,1424.9330195832447
2011-07-01,1477.3107881471399
2011-08-01,1531.4344823124504
2011-09-01,1585.5581765023237
2011-10-01,1637.9359450892448
2011-11-01,1692.0596392957295
2011-12-01,1744.4374078826509
2011-12-31,1796.8151764695717
2012-01-31,1850.9388706760571
2012-02-29,1901.570713643414
2012-03-31,1955.6944078498993
2012-04-30,2008.0721764368202
2012-05-31,2062.195870643305
