ds,yhat
2010-12-01,280011.89357099996
2011-01-01,300006.3818900959
2011-02-01,320000.87021936156
2011-03-01,338060.4080702828
2011-04-01,358054.89640162373
2011-05-01,377404.40123400814
2011-06-01,397398.88955243607
2011-07-01,416748.39437981247
2011-08-01,436742.8827069789
2011-09-01,456737.3710299853
2011-10-01,476086.8758676845
2011-11-01,496081.3641999736
2011-12-01,515430.8690376727
2011-12-31,534780.3738753719
2012-01-31,554774.8622076609
2012-02-29,573479.3835507701
2012-03-31,593473.8718830593
2012-04-30,612823.3767207583
2012-05-31,632817.8650530474
